year,gdp_billion_usd,gdp_per_capita_usd,population_millions,life_expectancy,unemployment_pct,poverty_pct,co2_per_capita_t
2000,77.9,4960,15.4,77.0,9.2,24.0,3.6
2001,70.6,4438,15.6,77.4,9.1,22.0,3.4
2002,70.0,4322,15.7,77.6,9.0,21.5,3.5
2003,75.6,4621,15.9,77.7,9.5,19.0,3.7
2004,99.2,6006,16.1,77.9,10.0,18.5,3.9
2005,123.0,7372,16.3,78.0,9.3,17.0,4.0
2006,154.7,9162,16.4,78.2,7.8,13.7,4.0
2007,173.6,10171,16.6,78.4,7.1,13.7,4.4
2008,179.6,10399,16.8,78.6,7.8,13.7,4.4
2009,172.4,9874,17.0,78.7,9.7,11.4,3.8
2010,218.5,12358,17.2,78.8,8.2,11.4,4.4
2011,252.0,14108,17.4,79.0,7.1,11.4,4.5
2012,267.1,14826,17.5,79.1,6.4,11.4,4.6
2013,278.4,15324,17.7,79.3,5.9,7.8,4.4
2014,260.6,14213,17.8,79.4,6.4,7.8,4.7
2015,243.9,13196,18.0,79.5,6.2,7.8,4.6
2016,250.4,13413,18.1,79.7,6.5,6.4,4.7
2017,277.4,14721,18.2,79.8,6.7,6.4,4.7
2018,295.6,15525,18.4,80.0,7.1,6.4,4.7
2019,278.6,14479,18.5,80.2,7.2,8.6,4.6
2020,252.9,13027,18.6,78.9,10.8,10.7,4.0
2021,317.1,16236,18.7,78.0,9.1,10.5,4.6
2022,301.0,15356,18.8,80.0,7.9,6.5,4.7
2023,335.5,17015,19.0,80.6,8.5,6.5,4.5
