year,investment,maintenance,capital_replacement,electricity_savings,co2_benefit,net_flow,discounted_flow,cumulative_npv
0,-79972,0,0,0.0,0.0,-79972.0,-79972.0,-79972.0
1,0,-104,0,10104.78,628.32,10629.1,10269.661835748793,-69702.33816425121
2,0,-104,0,10034.046540000001,628.32,10558.36654,9856.348143480596,-59845.990020770616
3,0,-104,0,9963.80821422,628.32,10488.12821422,9459.69073892671,-50386.29928184391
4,0,-104,0,9894.06155672046,628.32,10418.38155672046,9079.017632802199,-41307.28164904171
5,0,-104,0,9824.803125823417,628.32,10349.123125823417,8713.683972458331,-32593.597676583377
6,0,-104,-128,9756.029503942655,628.32,10152.349503942654,8258.942862694845,-24334.654813888534
7,0,-104,0,9687.737297415055,628.32,10212.057297415055,8026.584725753466,-16308.070088135068
8,0,-104,0,9619.92313633315,628.32,10144.243136333149,7703.655466798775,-8604.414621336293
9,0,-104,0,9552.583674378817,628.32,10076.903674378817,7393.736329663063,-1210.67829167323
10,0,-104,-648,9485.715588658166,628.32,9362.035588658166,6636.923163420215,5426.244871746985
11,0,-104,0,9419.315579537557,628.32,9943.635579537557,6810.850569089901,12237.095440836885
12,0,-104,-128,9353.380370480794,628.32,9749.700370480794,6452.188868507523,18689.28430934441
13,0,-104,0,9287.906707887429,628.32,9812.226707887428,6273.978506576255,24963.262815920665
14,0,-104,0,9222.891360932217,628.32,9747.211360932217,6021.649684761832,30984.912500682498
15,0,-104,0,9158.33112140569,628.32,9682.65112140569,5779.483617784003,36764.3961184665
16,0,-104,0,9094.22280355585,628.32,9618.542803555849,5547.070496892383,42311.466615358884
17,0,-104,0,9030.56324393096,628.32,9554.883243930959,5324.017055574444,47635.48367093333
18,0,-104,-128,8967.349301223443,628.32,9363.669301223443,5041.0356753789665,52676.5193463123
19,0,-104,0,8904.577856114878,628.32,9428.897856114878,4904.494873933855,57581.01422024616
20,0,-104,0,8842.245811122075,628.32,9366.565811122075,4707.316430954013,62288.33065120017
